class1991,class2000,class2011,male1,smoking1991,smoking2000,smoking2011,drink1991,drink2000,drink2011,prest00,prest91,prest11,smokdif,drinkdif
11,,11,1.12,10.5,,14.333333,1.6666666,.75,2.1333334,,32,32,3.833333,.46666682
1,,13,1,10,,.33333334,.66666669,,.33333334,,25,49,-9.666667,-.33333334
1,,13,1.12,0,,0,1,,0,,25,49,0,-1
4,,13,1,0,,0,0,0,0,,60,49,0,0
4,,13,1.12,7.5,,5.1999998,1.2,,1.2,,60,49,-2.3000002,0
7,,13,1,0,,0,.2857143,0,0,,55,49,0,-.2857143
7,,13,1.12,5.5555553,5.5,8.6000004,2,1.6666666,.89999998,,55,49,3.044445,-1.1
8,,13,1.12,40,,20,1,,0,,75,49,-20,-1
11,,13,1,0,0,0,0,0,0,,32,49,0,0
11,,13,1.12,11.5,,7.5,1,0,.25,,32,49,-4,-.75
13,,13,1,.2,,2,.2,,0,,49,49,1.8,-.2
13,,13,1.12,20,,.25,.25,,0,,49,49,-19.75,-.25
