A5,hh_altersmok,smoking,log_inc,class,gender,A12,han
1,0,0,11.753102,4,2,5,1
0,0,0,10.73102,4,1,4,1
1,0,0,10.73102,4,2,4,1
3,,,9.8175669,,2,,1
0,.5,1,10.990533,4,1,4,1
1,1.5,0,10.712416,7,2,4,0
3,,,9.9479828,,1,,0
0,0,10,10.792407,13,1,5,1
1,10,0,10.792407,13,2,4,1
0,0,0,10.633449,13,1,3,0
3,0,0,10.976782,8,1,5,1
7,0,0,9.7699566,1,2,4,1
5,,,9.7699566,,1,,0
0,.5,1,11.235853,13,1,4,1
1,1.5,0,11.203679,13,2,4,1
5,,,10.591622,,1,0,1
0,12,8,10.783114,13,2,3,1
1,8,12,10.807706,4,1,3,1
0,0,0,11.375731,7,2,5,1
4,0,0,11.189685,4,1,5,1
8,0,0,11.138668,4,2,4,1
3,,,10.501775,,2,,1
1,0,0,11.496593,7,1,4,1
0,0,10,11.418797,4,1,5,1
1,10,0,11.207984,13,2,4,1
0,12.75,1,10.766377,13,1,2,0
1,13.75,0,10.885566,13,2,2,0
3,3.75,10,10.766377,7,1,5,0
7,13.75,0,11.025166,4,2,5,0
5,,,10.060492,,2,,0
0,0,0,10.594131,13,2,0,1
0,8,0,11.54636,13,1,5,1
1,0,8,11.136047,13,2,1,1
0,.5,1,11.751943,7,1,5,1
1,1.5,0,11.385092,7,2,4,1
3,,,10.668956,,1,1,1
0,0,1,10.714417,13,1,1,1
5,1,0,9.6158056,,2,2,1
0,0,0,11.10646,13,1,2,1
1,0,0,10.929529,13,2,2,1
0,-4.7683716e-07,20,11.438759,4,1,5,1
1,20,0,11.531273,4,2,5,1
3,20,0,11.173974,7,2,4,1
0,0,0,10.753311,13,1,1,1
1,0,0,10.753311,13,2,0,1
0,0,0,11.003376,7,2,3,1
1,0,0,11.32027,4,1,3,1
3,0,0,10.277689,,2,3,1
0,26.25,0,10.86986,13,1,1,1
1,25.25,1,10.52075,13,2,2,1
3,6.25,20,10.324725,4,1,5,1
7,26.25,0,10.989976,4,2,3,1
5,,,9.9172392,,2,,1
0,6.25,25,11.357498,13,1,5,1
1,31.25,0,10.988761,13,2,4,1
7,31.25,0,11.832142,7,1,6,1
3,31.25,0,10.916995,4,2,5,1
5,,,10.534891,,2,,1
0,0,0,10.458097,13,2,2,1
3,0,0,9.4898787,13,2,2,1
0,0,1,11.811014,7,1,5,1
1,1,0,11.847454,7,2,5,1
0,-2.3841858e-07,10,12.007744,8,1,5,1
1,10,0,10.933464,7,2,5,1
3,10,0,10.692399,,2,1,1
0,0,10,10.348173,1,1,3,1
1,10,0,11.446786,7,2,4,1
0,3.0000002,8,10.769186,4,1,2,1
1,8,3,11.303849,4,2,2,1
3,11,0,11.301381,7,2,5,1
