class1991,class2000,class2011,male1,smoking2000,smoking2011,drink2000,drink2011,prest00,prest91,prest11
student,labor,,1.12,6.1830988,,1.0973451,,60,49,
retired,labor,,1,0,,0,,60,49,
retired,labor,,1.12,0,,0,,60,49,
,labor,,1,.27624309,0,.33668342,0,60,,
,labor,,1.12,8.5222225,,1.9398148,,60,,
unemp,self emp,unemp,1,.5714286,.5714286,0,0,55,25,25
labor,self emp,unemp,1,0,0,0,0,55,60,25
labor,self emp,unemp,1.12,13.666667,8.909091,.72727275,1.2727273,55,60,25
self emp,self emp,unemp,1,0,0,0,0,55,55,25
self emp,self emp,unemp,1.12,12.5,3,1.8571428,1.1428572,55,55,25
owner,self emp,unemp,1,0,0,0,0,55,75,25
owner,self emp,unemp,1.12,,3,0,0,55,75,25
farmer,self emp,unemp,1,.68965518,.71875,.71875,.3125,55,32,25
farmer,self emp,unemp,1.12,11.5,3.7777777,2.2777777,1.2777778,55,32,25
student,self emp,unemp,1.12,,0,0,0,55,49,25
retired,self emp,unemp,1.12,4,0,0,0,55,49,25
,self emp,unemp,1,.37037036,0,.25,.035714287,55,,25
,self emp,unemp,1.12,13.684211,9.045455,1.4090909,1.5909091,55,,25
unemp,self emp,labor,1,0,0,0,0,55,25,60
unemp,self emp,labor,1.12,10,14,1.5,1,55,25,60
labor,self emp,labor,1,0,0,0,.2,55,60,60
labor,self emp,labor,1.12,8.454545,10,2,2.25,55,60,60
self emp,self emp,labor,1,0,0,0,0,55,55,60
self emp,self emp,labor,1.12,9.666667,3.8,1.9,2.5,55,55,60
owner,self emp,labor,1,0,0,2,2,55,75,60
owner,self emp,labor,1.12,20,20,4,5,55,75,60
farmer,self emp,labor,1,0,0,0,0,55,32,60
farmer,self emp,labor,1.12,10.555555,13.230769,2.0769231,2.5384614,55,32,60
student,self emp,labor,1,0,0,0,0,55,49,60
student,self emp,labor,1.12,15.666667,10.166667,1.1666666,2,55,49,60
,self emp,labor,1,.050000001,0,.13636364,.27272728,55,,60
,self emp,labor,1.12,10.238095,10.75,2.0416667,2.875,55,,60
unemp,self emp,self emp,1,0,0,0,0,55,25,55
unemp,self emp,self emp,1.12,10,12.5,1.5,2,55,25,55
labor,self emp,self emp,1,0,0,0,.14285715,55,60,55
labor,self emp,self emp,1.12,9.166667,6.1666665,2.4444444,2.3888888,55,60,55
self emp,self emp,self emp,1,0,0,.5,.60000002,55,55,55
self emp,self emp,self emp,1.12,11.342857,10.342105,2.2631578,2.8421052,55,55,55
owner,self emp,self emp,1,0,0,0,0,55,75,55
owner,self emp,self emp,1.12,20,10.8,1.8,3.8,55,75,55
farmer,self emp,self emp,1,0,0,.40000001,.30000001,55,32,55
farmer,self emp,self emp,1.12,10.615385,10.555555,1.7777778,1.4074074,55,32,55
student,self emp,self emp,1,0,0,0,0,55,49,55
student,self emp,self emp,1.12,12.125,9.125,2.125,1.875,55,49,55
,self emp,self emp,1,0,.015384615,.32307693,.58461541,55,,55
,self emp,self emp,1.12,7.6393442,8.1641788,2.522388,2.4626865,55,,55
unemp,self emp,owner,1,0,0,0,0,55,25,75
labor,self emp,owner,1.12,7,16,3,5,55,60,75
self emp,self emp,owner,1.12,7.1999998,13,2.2,2.2,55,55,75
farmer,self emp,owner,1.12,5,0,3.5,2,55,32,75
student,self emp,owner,1,0,0,0,0,55,49,75
student,self emp,owner,1.12,10,5,1.5,1,55,49,75
,self emp,owner,1,0,0,0,0,55,,75
,self emp,owner,1.12,10.875,12.111111,2.8888888,2.1111112,55,,75
unemp,self emp,farmer,1,7.5,5,1.5,0,55,25,32
labor,self emp,farmer,1.12,0,0,0,0,55,60,32
self emp,self emp,farmer,1,0,0,0,0,55,55,32
self emp,self emp,farmer,1.12,9.1999998,8.6000004,3.2,2.5999999,55,55,32
owner,self emp,farmer,1.12,,12,.5,1,55,75,32
farmer,self emp,farmer,1,0,0,.2,.40000001,55,32,32
farmer,self emp,farmer,1.12,12.307693,7.5294118,2,2.5294118,55,32,32
,self emp,farmer,1,0,2.2222223,0,.44444445,55,,32
,self emp,farmer,1.12,8.3999996,10,1.8,1,55,,32
,self emp,student,1,0,0,2,0,55,,49
unemp,self emp,retired,1,0,0,0,0,55,25,49
labor,self emp,retired,1,0,0,0,0,55,60,49
labor,self emp,retired,1.12,6.6666665,3,.71428573,1.8571428,55,60,49
self emp,self emp,retired,1,1.6666666,1.25,.33333334,.91666669,55,55,49
self emp,self emp,retired,1.12,7.375,6.8000002,2.3,2.5,55,55,49
owner,self emp,retired,1,0,0,0,0,55,75,49
owner,self emp,retired,1.12,10.2,13.2,3,3.2,55,75,49
farmer,self emp,retired,1,0,0,0,0,55,32,49
farmer,self emp,retired,1.12,30,10,2.5,.5,55,32,49
student,self emp,retired,1.12,,0,0,0,55,49,49
retired,self emp,retired,1,0,0,4,0,55,49,49
retired,self emp,retired,1.12,20,0,5,0,55,49,49
,self emp,retired,1,0,0,.11428571,.14285715,55,,49
,self emp,retired,1.12,5.4827585,2.7333333,2.3333333,1.7666667,55,,49
unemp,self emp,,1,0,,.14285715,,55,25,
unemp,self emp,,1.12,18.333334,0,1.1666666,0,55,25,
labor,self emp,,1,0,,0,,55,60,
labor,self emp,,1.12,10.22,,1.9310344,,55,60,
self emp,self emp,,1,0,,.18181819,,55,55,
self emp,self emp,,1.12,7.3777776,20,1.9574468,5,55,55,
owner,self emp,,1,0,,.2,,55,75,
owner,self emp,,1.12,17.692308,,3.2857144,,55,75,
farmer,self emp,,1,0,,.039999999,,55,32,
farmer,self emp,,1.12,13.956522,,2.5818181,,55,32,
student,self emp,,1,0,,.090909094,,55,49,
student,self emp,,1.12,7.9642859,,1.4285715,,55,49,
retired,self emp,,1,0,,0,,55,49,
retired,self emp,,1.12,0,,2.5,,55,49,
,self emp,,1,.0076923077,0,.21428572,0,55,,
,self emp,,1.12,7.8211384,,2.1884058,,55,,
labor,owner,unemp,1.12,0,0,2,1,75,60,25
self emp,owner,unemp,1,0,0,0,0,75,55,25
farmer,owner,unemp,1,0,0,0,0,75,32,25
farmer,owner,unemp,1.12,5,5.3333335,1.6666666,1.6666666,75,32,25
,owner,unemp,1,0,0,0,0,75,,25
,owner,unemp,1.12,20,3,0,.5,75,,25
labor,owner,labor,1,0,0,1.5,0,75,60,60
labor,owner,labor,1.12,7.6666665,10,1.75,3,75,60,60
self emp,owner,labor,1,0,0,0,1,75,55,60
self emp,owner,labor,1.12,15,20,4,4,75,55,60
owner,owner,labor,1.12,15,5,1,1.25,75,75,60
farmer,owner,labor,1.12,0,0,0,0,75,32,60
