province,aids_incidence,aids_mort,aid_morb,aid_mortrate,hiv_incidence,hiv_mort,hiv_morb,hiv_mortrate,year,morb_ipolate,report,report_ipolate,org,sjw,news
hub,853,251,1.4814,.4359,1106,170,1.9208,.2952,2012,1.9208,,77,3,231,145.03999
hub,1021,270,1.7667,.4672,1203,156,2.0817,.2699,2013,2.0817,,86,3,258,120.96
hun,96,46,.1437,.0689,379,,.5674,,2004,.5674,11,11,3,33,541
hun,177,51,.2812,.081,874,14,1.3887,.0222,2005,1.3887,38,38,3,114,433
hun,304,61,.4806,.0964,1002,24,1.5839,.0379,2006,1.5839,39,39,3,117,559
hun,334,127,.5266,.2003,1149,57,1.8117,.0899,2007,1.8117,25,25,3,75,418
hun,407,231,.6404,.3635,1139,133,1.7923,.2093,2008,1.7923,32,32,3,96,255
hun,540,304,.8458,.4761,1319,200,2.0658,.3132,2009,2.0658,50,50,3,150,243
hun,745,391,1.163,.6104000000000001,1425,379,2.2245,.5916,2010,2.2245,59,59,3,177,240
hun,745,391,1.163,.6104000000000001,1425,379,2.2245,.5916,2011,2.2245,,68,3,204,169.67999
hun,1925,530,2.9186,.8036,2053,637,3.1127,.9658,2012,3.1127,,77,3,231,145.03999
hun,2096,557,3.1571,.839,2328,390,3.5066,.5874,2013,3.5066,,86,3,258,120.96
jl,16,9,.06,.0338,61,,.2289,,2004,.2289,11,11,1,11,541
jl,22,7,.0812,.0258,108,9,.3987,.0332,2005,.3987,38,38,1,38,433
jl,22,10,.081,.0368,128,4,.4713,.0147,2006,.4713,39,39,1,39,559
jl,42,18,.1542,.0661,146,11,.5362,.0404,2007,.5362,25,25,1,25,418
jl,46,33,.1685,.1209,183,17,.6703,.0623,2008,.6703,32,32,1,32,255
jl,71,27,.2597,.0988,185,32,.6767,.117,2009,.6767,50,50,1,50,243
jl,98,47,.3577,.1716,207,46,.7556000000000001,.1679,2010,.7556000000000001,59,59,1,59,240
jl,98,47,.3577,.1716,207,46,.7556000000000001,.1679,2011,.7556000000000001,,68,1,68,169.67999
jl,254,60,.9238,.2182,397,34,1.4439,.1237,2012,1.4439,,77,1,77,145.03999
jl,345,97,1.2544,.3527,517,35,1.8797,.1273,2013,1.8797,,86,1,86,120.96
js,35,23,.0462,.0304,127,,.1678,,2004,.1678,11,11,4,44,541
js,84,34,.1126,.0456,246,18,.3298,.0241,2005,.3298,38,38,4,152,433
js,86,31,.1151,.0415,289,10,.3866,.0134,2006,.3866,39,39,4,156,559
js,121,55,.1603,.0728,281,14,.3722,.0185,2007,.3722,25,25,4,100,418
js,134,67,.1757,.0879,525,30,.6885,.0393,2008,.6885,32,32,4,128,255
js,206,72,.2683,.0938,836,48,1.0889,.0625,2009,1.0889,50,50,4,200,243
js,325,88,.4207,.1139,980,75,1.2686,.0971,2010,1.2686,59,59,4,236,240
js,325,88,.4207,.1139,980,75,1.2686,.0971,2011,1.2686,,68,4,272,169.67999
js,978,164,1.2382,.2076,1547,127,1.9585,.1608,2012,1.9585,,77,4,308,145.03999
js,1173,213,1.4811,.2689,1849,140,2.3346,.1768,2013,2.3346,,86,4,344,120.96
jx,34,24,.0794,.056,62,,.1447,,2004,.1447,11,11,3,33,541
jx,62,41,.1449,.0959,182,9,.4255,.021,2005,.4255,38,38,3,114,433
jx,77,39,.1786,.0905,195,8,.4523,.0186,2006,.4523,39,39,3,117,559
jx,102,68,.2351,.1567,150,23,.3457,.053,2007,.3457,25,25,3,75,418
jx,114,94,.261,.2152,273,48,.625,.1099,2008,.625,32,32,3,96,255
jx,157,101,.3568,.2295,342,66,.7773,.15,2009,.7773,50,50,3,150,243
jx,233,115,.5257,.2595,374,71,.8438,.1602,2010,.8438,59,59,3,177,240
jx,233,115,.5257,.2595,374,71,.8438,.1602,2011,.8438,,68,3,204,169.67999
jx,568,136,1.2655,.303,769,222,1.7133,.4946,2012,1.7133,,77,3,231,145.03999
jx,755,169,1.6763,.3752,948,212,2.1048,.4707,2013,2.1048,,86,3,258,120.96
ln,15,8,.036,.0192,44,1,.1057,.0024,2004,.1057,11,11,4,44,541
ln,24,9,.0569,.0213,124,,.2941,,2005,.2941,38,38,4,152,433
ln,27,7,.064,.0166,181,2,.4288,.0047,2006,.4288,39,39,4,156,559
ln,53,23,.1241,.0539,218,8,.5104,.0187,2007,.5104,25,25,4,100,418
ln,52,31,.121,.0721,463,11,1.0772,.0256,2008,1.0772,32,32,4,128,255
ln,75,27,.1738,.0626,532,38,1.233,.0881,2009,1.233,50,50,4,200,243
ln,110,38,.2547,.088,729,53,1.6879,.1227,2010,1.6879,59,59,4,236,240
ln,110,38,.2547,.088,729,53,1.6879,.1227,2011,1.6879,,68,4,272,169.67999
ln,449,64,1.0244,.146,1163,110,2.6534,.251,2012,2.6534,,77,4,308,145.03999
ln,576,102,1.3124,.2324,1443,112,3.2878,.2552,2013,3.2878,,86,4,344,120.96
nm,8,3,.0336,.0126,11,,.0461,,2004,.0461,11,11,2,22,541
nm,8,2,.0337,.0084,27,2,.1137,.0084,2005,.1137,38,38,2,76,433
nm,16,7,.0671,.0293,44,1,.1844,.0042,2006,.1844,39,39,2,78,559
nm,14,8,.0584,.0334,56,1,.2336,.0042,2007,.2336,25,25,2,50,418
nm,11,6,.0457,.0249,103,10,.4283,.0416,2008,.4283,32,32,2,64,255
nm,12,16,.0497,.0663,129,5,.5344,.0207,2009,.5344,50,50,2,100,243
nm,30,15,.1239,.0619,125,6,.5161,.0248,2010,.5161,59,59,2,118,240
nm,30,15,.1239,.0619,125,6,.5161,.0248,2011,.5161,,68,2,136,169.67999
nm,69,11,.278,.0443,350,5,1.4103,.0201,2012,1.4103,,77,2,154,145.03999
nm,135,22,.5422,.0884,416,19,1.6708,.0763,2013,1.6708,,86,2,172,120.96
nx,,,,,8,,.137,,2004,.137,11,11,.2,2.2,541
nx,4,1,.0679,.017,28,1,.475,.017,2005,.475,38,38,.2,7.5999999,433
nx,2,2,.0336,.0336,36,,.604,,2006,.604,39,39,.2,7.8000002,559
nx,7,1,.1159,.0166,39,2,.6457000000000001,.0331,2007,.6457000000000001,25,25,.2,5,418
nx,6,6,.0984,.0984,66,1,1.082,.0164,2008,1.082,32,32,.2,6.4000001,255
nx,10,5,.1651,.0826,71,7,1.1724,.1156,2009,1.1724,50,50,.2,10,243
nx,19,8,.3039,.128,77,4,1.2316,.064,2010,1.2316,59,59,.2,11.8,240
nx,19,8,.3039,.128,77,4,1.2316,.064,2011,1.2316,,68,.2,13.6,169.67999
nx,48,13,.7506,.2033,106,17,1.6577,.2659,2012,1.6577,,77,.2,15.400001,145.03999
nx,59,13,.9116,.2009,151,12,2.3332,.1854,2013,2.3332,,86,.2,17.200001,120.96
qh,7,1,.1297,.0185,9,,.1668,,2004,.1668,11,11,.2,2.2,541
qh,7,,.1301,,17,1,.316,.0186,2005,.316,38,38,.2,7.5999999,433
qh,10,4,.1842,.0737,12,1,.221,.0184,2006,.221,39,39,.2,7.8000002,559
qh,7,3,.1277,.0547,20,1,.365,.0182,2007,.365,25,25,.2,5,418
qh,9,4,.163,.0725,27,2,.4891,.0362,2008,.4891,32,32,.2,6.4000001,255
qh,11,2,.1984,.0361,45,3,.8118,.0541,2009,.8118,50,50,.2,10,243
qh,22,7,.3948,.1256,76,4,1.3637,.0718,2010,1.3637,59,59,.2,11.8,240
qh,22,7,.3948,.1256,76,4,1.3637,.0718,2011,1.3637,,68,.2,13.6,169.67999
qh,77,16,1.3552,.2816,159,22,2.7984,.3872,2012,2.7984,,77,.2,15.400001,145.03999
qh,93,16,1.6226,.2791,189,25,3.2975,.4362,2013,3.2975,,86,.2,17.200001,120.96
sax,17,8,.0465,.0219,33,,.0902,,2004,.0902,11,11,5,55,541
sax,23,4,.0621,.0108,86,4,.2321,.0108,2005,.2321,38,38,5,190,433
sax,38,11,.1021,.0296,83,1,.2231,.0027,2006,.2231,39,39,5,195,559
sax,53,23,.1419,.0616,113,7,.3025,.0187,2007,.3025,25,25,5,125,418
sax,50,29,.1334,.0774,183,12,.4883,.032,2008,.4883,32,32,5,160,255
sax,81,42,.2153,.1116,183,15,.4864,.0399,2009,.4864,50,50,5,250,243
sax,129,59,.342,.1564,371,23,.9836,.061,2010,.9836,59,59,5,295,240
sax,129,59,.342,.1564,371,23,.9836,.061,2011,.9836,,68,5,340,169.67999
sax,340,84,.9085,.2244,811,83,2.1669,.2218,2012,2.1669,,77,5,385,145.03999
sax,498,80,1.3269,.2132,1003,88,2.6725,.2345,2013,2.6725,,86,5,430,120.96
sc,56,22,.0643,.0252,778,,.8928,,2004,.8928,11,11,5,55,541
